Period,Total_Count,Mean_Days,Median_Days,Std_Dev,Min_Days,Max_Days,Q25,Q75,Q90,Q95
Created → Submission,46893,93.8595818698252,21.308928136574075,131.23775031366563,0.0009696296296296296,530.3168999999999,5.337520821759259,139.20294386574074,365.84059603240746,398.3341083263889
Created → Approved,46936,95.37293854334719,24.10642388888889,130.48709583957861,0.0019972685185185184,531.1963143287037,7.065640011574073,139.70586449652777,365.72080422453706,398.32635703993054
Submission → Approved,46907,1.5416998514396887,0.08747460648148148,4.041899472323844,-366.9068896759259,127.88153881944444,6.770833333333333e-06,1.8359817766203705,4.951700222222223,7.071037025462961
Approved → Registration,14175,-6297.396610405532,-5870.725290694444,1937.64952702249,-32653.438643518522,1860.6740703587961,-6595.27533978588,-5251.098306585648,-4908.639345449074,-4776.490954148148
Created → Registration (Total),14171,-6049.490630560689,-5609.881032083334,1938.0861099272254,-32287.317046504628,1894.126075763889,-6342.6655291145835,-5013.930985393518,-4657.77747761574,-4533.0360033738425
